Duration,Budget,Reviews_by_Users,Reviews_by_Critics,IMDB_Score,Gross_Earnings
116,40000000,734,212,5.5,89138076
81,10000000,69,29,5.7,6982680
89,4300000,346,149,7.3,6940281
92,8000000,339,196,6.9,8279017
99,46000000,301,160,5.9,70327868
110,55000000,293,146,6.6,56932305
94,18000000,192,128,6.7,17071230
104,6000000,726,151,8.3,30093107
89,13000000,91,42,4.9,60008303
109,1800000,78,39,7.3,3050934
130,65000000,326,169,6.4,90454043
91,65000000,282,100,4.8,14218868
78,150000,101,91,6.3,2882062
123,82000000,289,170,5.9,34543701
92,76000000,197,49,4.1,26000610
116,40000000,167,110,5.7,30199105
119,50000000,548,118,6.6,39778599
94,1000000,120,51,7,1744858
109,33000000,677,225,6.3,61280963
115,20000000,92,71,6.5,403932
126,20000000,370,136,7,17804273
88,23000000,47,53,5.6,13019253
78,100000000,297,141,7.3,89296573
125,60000000,322,121,6.7,75764085
90,60000000,85,57,3.6,35231365
135,10000000,181,96,7.1,3041803
105,15000000,85,49,4.6,5217498
104,60000000,139,86,6.1,69688384
84,11000000,79,58,5.1,13592872
126,60000000,267,125,6.7,30695227
95,22000000,38,38,5.7,13555988
99,25000000,162,86,4.7,14983572
115,3000000,83,53,6.6,38168022
142,110000000,1144,192,7.1,113330342
130,140000000,779,231,6.4,182618434
118,50000000,261,118,6.5,44737059
89,95000000,139,82,6.9,50802661
106,15000000,193,102,5.6,35007180
82,1000000,54,29,6,12996
77,30000000,53,89,6.3,45542421
97,33000000,181,103,5.3,28927720
119,8500000,327,117,6.7,6047856
98,24000000,318,129,6.7,57262492
112,100000000,69,61,7.3,3058380
115,24000000,138,93,6.4,882710
87,NA,3,13,4.2,58163
145,80000000,315,162,7.3,34566746
85,19000000,119,47,3.6,15911333
94,75000000,377,131,6.6,22751979
190,48000000,867,223,7.6,124107476
116,62000000,602,178,6.6,77086030
106,75000000,1344,294,7.2,94999143
97,14000000,227,108,4.1,21468807
106,225000,73,38,7,1027119
124,75000000,379,134,5.9,68473360
130,100000000,683,185,6.6,155370362
87,50000000,91,82,5.6,6291602
127,70000000,395,149,6.4,182805123
94,15000000,89,50,5.5,8735529
120,15000000,240,78,6.8,33771174
82,3000000,81,48,4.4,4142507
92,8000000,86,72,5.3,5018450
107,55000000,335,173,7.4,19389454
104,75000000,1401,290,7.4,157299717
111,1200000,231,122,7.7,9180275
120,42000000,265,151,6.1,24375436
125,42000000,399,113,5.9,15738632
135,58000000,1171,205,8.2,170708996
144,65000000,658,167,6.9,56083966
146,100000000,2153,281,7.1,78616689
165,107000000,386,174,6.8,58183966
103,50000000,26,38,6.9,206400
105,25000000,40,19,4.5,22723
104,60000000,317,133,6.3,74058698
122,77000000,1314,242,8.4,33201661
100,250000,40,9,6.7,902835
94,35000000,162,44,6,13264986
108,30000000,431,142,6.4,145096820
102,48000000,343,142,5.7,93607673
102,38000000,180,106,5.6,24044532
109,30000000,221,123,6.1,10965209
95,120000000,289,146,6.8,84037039
102,300000,12,15,7.6,16892
130,16000000,81,41,6.4,28734552
123,80000000,261,132,6.6,41523271
106,40000000,411,131,6.4,59068786
93,13000000,159,111,6.1,4919896
152,92000000,1103,200,7.7,108638745
95,50000000,164,46,4.8,33422806
124,30000000,426,147,7.6,52937130
97,26000000,571,168,6.7,71500556
119,1000000,63,12,7.2,798341
84,13000000,181,47,5.6,5002310
98,15000000,111,109,6.9,353743
115,2100000,336,76,7,510092
131,57000000,220,96,5.9,25528495
87,60000000,235,105,5.2,93375151
86,11000000,100,62,4.6,23978402
135,14000000,169,84,6.5,16929123
92,21150000,119,71,4.8,25590119
91,400000,88,86,7.7,1293295
89,53000000,190,98,5.5,45207112
133,4500000,2110,283,8.1,727883
113,50000000,248,113,6.3,54997476
88,24000000,50,45,5.3,20218
88,1200000,4,12,6.1,58936
87,30000000,122,61,5.4,64172251
87,72000000,79,91,4.6,112950721
116,72000000,346,109,4.5,32616869
131,68000000,662,187,7.6,51396781
101,33000000,232,107,5.5,51758599
106,137000000,788,166,6.4,32131830
93,28000000,167,95,6.3,5204007
100,11000000,463,161,7.3,13103828
87,15000000,619,97,4.5,14249005
122,35000000,541,208,6.8,31598308
87,22000000,180,63,5.8,11560259
111,7000000,488,122,7.4,6200756
98,28000000,460,156,4.9,8434601
104,22000000,308,66,2.1,4273372
131,19800000,651,187,7.3,41300105
106,21000000,131,85,6.3,40219708
159,125000000,1571,258,7.5,317557891
99,5500000,69,27,4.9,56007
86,14000000,104,61,5.4,10397365
123,35000000,216,116,6.2,40334024
101,31000000,268,135,6.9,24185781
95,6000000,231,108,7.8,3029081
86,10000000,44,43,6.2,226792
93,12000000,102,34,6.2,31155435
132,22000000,431,129,7.6,40270895
102,40000000,207,83,6.2,6114237
138,1700000,510,179,7.5,35918429
91,5500000,144,100,7.1,1292119
85,11000000,673,205,4.4,12610731
104,22000000,867,181,6.9,30059386
90,10000000,985,190,6.1,37470017
82,30000000,118,66,6,80920948
91,17700000,205,78,5.9,27087695
98,38000000,85,55,5.5,22770864
98,22000000,242,93,5.3,14252830
97,23000000,339,140,6.6,21973182
92,93000000,1236,198,5.9,181166115
84,40000000,98,61,5.8,4777007
123,48000000,316,125,6.4,47095453
98,25000000,254,116,6.6,36833473
97,1000000,190,110,6.7,7022940
92,15000000,135,57,6.1,11632420
120,48000000,537,140,7.4,50173190
97,700000,109,64,7.2,1141829
100,115000000,824,199,5.7,131144183
109,12000000,99,61,7,2326407
96,18000000,548,163,6.2,95001351
125,18000000,359,99,7.5,15561627
91,250000,85,71,6.9,4186931
107,6000000,34,47,6.2,54606
95,5000000,165,81,6.4,5308707
94,15500000,26,21,6.5,508867
91,12000000,69,37,5.3,17292381
99,2500000,84,54,6.5,92191
104,22000000,111,18,4.1,5974653
93,75000000,171,74,4.7,5409517
112,4000000,522,153,7.1,31252964
92,115000000,593,250,8.1,289907418
127,52500000,2319,209,7.6,57386369
147,15000000,1768,252,8,7219578
98,500000,34,25,6,295468
99,16000000,393,97,5.7,37882551
95,6000000,105,84,5.8,2025238
141,7000000,84,73,7.7,6173485
95,5000000,153,92,6.2,16017403
116,85000000,845,186,7.8,183405771
85,16000000,79,46,4.1,4356743
118,42000000,181,93,6,16252765
95,70000000,123,81,6.2,13596911
89,11000000,90,37,6.3,13903262
184,140000000,1999,191,6.1,198539855
119,100000000,1368,230,5.7,180011740
81,3000000,131,31,5.2,3293258
112,48000000,497,103,6.4,56607223
82,23000000,38,44,6.5,36696761
132,48000000,210,89,6.4,29781453
105,57000000,191,107,6.2,16991902
90,90000000,394,127,6.6,226138454
112,13000000,320,101,6.1,91038276
96,22000000,201,97,5.9,19351569
95,25000000,91,87,4.9,5516708
83,45000000,548,127,5.2,71277420
94,35000000,53,51,5.4,33357476
82,28000000,374,122,6.9,49968653
100,1500000,481,127,6.5,373967
114,40000000,426,109,5.9,70836296
90,60000000,945,212,7.9,267652016
97,23000000,167,92,6.1,27338033
84,14000000,181,64,3.9,3100650
114,92000000,361,142,7,26871
88,35000000,205,122,5.4,112692062
108,34000000,107,50,4.9,19693891
100,1200000,333,100,7.1,18488314
119,40000000,274,94,6.7,25178165
99,80000000,543,166,6.5,69772969
110,38000000,67,31,5.2,623374
84,22000000,132,75,4.8,55762229
98,1500000,159,84,7.2,406035
106,6000000,43,52,6.3,27457409
84,6000000,78,61,6.4,1028337
105,13500000,59,58,6,687081
103,26000000,178,116,6.8,7496522
106,38000000,988,187,6.7,144512310
90,5000000,131,56,5.3,6755271
106,30000000,200,95,5.8,17951431
96,1500000,21,9,5.4,703
131,60000000,281,110,6.9,18208078
171,93000000,5060,297,8.8,313837577
90,40000,118,88,7,110536
152,72000000,376,128,6.9,27796042
123,34000000,344,125,6.1,66808615
130,98000000,890,202,6.3,202007640
104,40000000,291,107,4.7,27053815
85,49000000,294,98,5.9,43905746
113,7000000,85,27,6.5,4720371
101,17000000,1109,239,7.6,96471845
124,45000000,531,150,6.8,19719930
111,37000000,301,108,6.2,108244774
110,21000000,962,220,7.6,52353636
124,68000000,445,141,6.8,71069884
111,35000000,208,119,6.8,11405825
109,18000000,213,104,6.1,13491653
93,4000000,38,27,4.6,10097096
103,35000000,229,108,5.2,60400856
91,20000000,478,149,5.5,41867960
104,4500000,115,79,7.1,3287435
95,11000000,121,75,5.3,13558739
104,90000000,89,62,4.4,6712451
122,45000000,633,109,7.7,76261036
90,6000000,31,40,6.1,22235901
96,10000000,371,120,4.7,20384136
141,68000000,1248,153,6.9,100614858
94,15300000,91,40,6.6,81525
94,45000000,84,64,5.5,32095318
81,160000000,153,100,8,10762178
106,2000000,385,173,7.7,13622333
90,28000000,523,135,6.6,45162741
108,15000000,454,202,7.7,13060843
113,8000000,1441,224,7.6,45063889
96,17000000,207,140,5.6,37939782
110,41000000,564,119,7,116724075
111,8000000,162,128,7.1,3076425
101,11000000,962,80,7.4,41227069
99,25000000,157,72,4.9,10719367
101,30000000,391,158,7.1,40566655
125,30000000,612,217,7.2,65010106
81,19000000,710,241,7.7,22245861
95,14000000,33,40,5.7,25482931
121,9000000,94,81,7.6,112935
132,103000000,55,69,7.3,274299
96,60000000,138,105,5.9,32122249
117,12500000,159,121,7.3,21078145
115,15500000,180,78,6.6,1554566
94,63000000,795,194,6.2,213079163
105,7000000,147,97,6.6,2062066
116,70000000,189,128,5.6,30157016
91,70000000,277,92,3.6,14294842
102,12000000,156,91,6.3,75074950
112,3500159,438,161,6.7,32541719
98,250000,138,51,7.2,3799339
88,15000000,99,69,5.4,47811275
74,40000000,186,87,6.5,7262288
117,54000000,559,224,6.7,81645152
110,50000000,260,146,6.4,26199517
107,2000000,120,92,7.7,768045
88,1000000,68,44,6.7,464126
104,30000000,216,69,5.6,40118420
97,20000000,132,63,4.9,8586376
120,4000000,888,215,8,21244913
109,8000000,60,37,6.5,27362712
92,1000000,366,260,7.2,1492895
141,52000000,667,194,8,164435221
91,45000000,350,167,6.5,66790248
113,45000000,1017,223,7.2,170684505
108,60000000,166,104,6.2,22433915
116,17500000,67,38,6,325491
91,500000,24,11,5.3,243347
94,26000000,94,69,5.2,36985501
108,85000000,339,135,5.5,40048332
113,29000000,276,181,7.1,33013805
115,750000,13,15,7,11562
93,12000000,578,111,3.3,37188667
95,7500000,124,82,6.8,898365
118,15000000,125,71,6.6,9059588
103,10600000,349,108,5.4,22160085
109,55000000,341,105,6.4,8355815
96,10000000,92,38,5.6,6044618
133,142000000,1185,264,6.1,160201106
97,10000000,203,137,7.4,8111360
116,27000000,199,93,6,69586544
73,1600000,32,58,7,39659
104,60000000,243,117,6.1,30063805
118,20000000,185,64,5.7,56398162
99,30000000,291,181,5.4,17266505
118,1800000,110,85,6.8,5709616
115,38000000,234,98,5.6,39177215
107,20000000,1137,146,7.5,1190018
93,40000000,82,53,4.5,4835968
96,55000000,142,66,5.3,6632383
84,400000,10,8,5.8,25918
107,13500000,378,181,7.4,15854988
101,42000000,388,104,3.3,13208023
114,35000000,232,149,6.3,6592103
123,12000000,271,128,7.4,25776062
85,20000000,66,26,5.8,32983713
101,2000000,172,108,4.7,2506446
85,30000,61,43,6.4,88078
216,100000000,1166,233,7.5,77679638
103,3500000,290,103,6.2,236266
91,35000000,474,156,5.5,30079316
98,13000000,132,58,4.6,15361537
94,15000000,614,151,4.1,30259652
174,100000000,858,232,7.4,261970615
125,60000000,196,112,6.3,19076815
76,3000000,43,33,5.9,13684949
115,42000000,175,114,6.3,41543207
97,14000000,67,12,6.3,NA
112,16000000,148,109,6.6,4839383
97,70000000,141,105,5.4,33105600
103,59000000,467,193,7.6,176387405
99,9000000,238,136,7,4681503
118,46000000,651,185,7.2,67263182
88,750000,31,31,6.6,47329
99,5400000,664,192,7.4,753501
87,5000000,327,106,6.6,64267897
116,36000000,394,129,7,71026631
82,14000000,78,38,6.6,25571351
91,15600000,40,32,4.5,13571817
138,100000000,278,136,6.7,35168677
81,10000000,518,63,6.2,16033556
111,5300000,149,88,7.3,3895664
103,40000000,128,86,5.8,14448589
99,30000000,72,39,5.1,51432423
85,80000000,367,180,7.2,145771527
105,55000000,242,114,5.1,93815117
79,24000,21,28,7,NA
113,3000000,35,24,5.4,19184015
93,500000,277,114,6.7,145540
88,140000000,606,208,6.1,190418803
102,7500000,83,9,6,4239767
145,102000000,1331,252,7.7,132014112
113,4000000,38,64,7.7,146402
112,21000000,147,111,6.7,6830957
97,6000000,111,75,6.7,267194
96,50000000,309,117,5.8,126203320
115,50000000,302,136,6.1,31874869
95,5000000,756,168,6.6,241437427
105,7500000,214,127,7.2,10460089
132,10000000,103,80,7.2,1309849
96,12000000,605,207,6.8,31597131
112,48000000,850,233,6.8,95308367
100,22000000,81,42,5.5,121972
81,13000000,629,216,7.1,46563158
99,4000000,113,41,7,562059
95,25000000,888,251,7.3,17791031
101,35000000,695,137,5.2,30307804
88,800000,135,59,7.2,2073984
90,3000000,109,75,7,5844929
124,78000000,764,210,7.2,92930005
101,60000000,569,138,6.2,43060566
100,33000000,1138,226,6.7,39532308
72,20000000,79,80,5.8,48423368
110,30000000,108,56,6.7,6200970
117,80000000,1009,226,7.7,104054514
98,70000000,289,151,3,18990542
86,84000000,521,138,4.9,153288182
104,4000000,390,163,7.1,4046737
99,29000000,101,64,5.3,16930185
105,NA,8,12,4.7,247740
106,72000000,2335,208,6.7,227965690
86,11000000,107,66,5.3,4814244
99,35000000,100,67,5.1,81150692
93,12000000,105,53,5.4,10198766
98,8000000,213,157,6.8,1641788
121,139000000,2012,291,7.3,403706375
83,80000000,216,106,7,73215310
106,2000000,199,92,6.8,410241
100,38000000,107,103,5.1,85570368
116,60000000,842,172,6.4,43119879
142,115000000,3516,284,6.7,310675583
85,25000000,92,52,5.1,13973532
91,1500000,55,31,6.5,119841
77,120000000,69,71,5.4,64736114
141,5600000,81,68,6.9,3064356
108,38000000,392,97,6.1,127214072
89,10000000,215,71,3.6,598645
85,8500000,217,86,5,28563926
95,100000000,164,66,3.8,4411102
98,10000000,147,92,5.6,30306281
119,60000000,849,249,7.9,121468960
103,200000,14,12,6.9,174682
131,35000000,544,138,7.7,54228104
88,35000000,75,43,4,16988996
90,13000000,106,61,5.4,28399192
104,12000000,122,78,7.1,1779284
109,12500000,139,83,6.9,14060950
125,35000000,215,105,6.5,18306166
93,5000000,298,107,6.5,14015786
109,25000000,103,105,6.6,3517797
94,11000000,128,70,5.4,3034181
96,7000000,25,39,6.7,196067
114,25000000,660,174,7.6,41597830
97,15000000,141,104,6.9,8378141
172,94000000,2417,294,8.7,340478898
80,16000000,307,56,3.3,40363530
119,32000000,460,166,6.5,35228696
92,13000000,159,49,5.9,28972187
150,35000000,761,193,8.5,32519322
101,30000000,199,149,7.1,12987647
127,20000000,174,92,7,75597042
110,4000000,425,143,6.7,6525762
103,18000000,180,79,7.2,676698
104,60000000,116,80,5.5,139225854
100,60000000,432,167,5.5,90341670
102,500000,53,5,6.4,1250798
112,500000,32,17,6.1,13134
124,68000000,568,176,6.4,118471320
90,43000000,403,99,5.1,24430272
96,80000000,615,124,5.9,56684819
92,21000000,460,171,6.8,25296447
98,60000000,207,81,5.3,50189179
85,25000000,33,38,5.2,39880476
89,17000000,271,81,4.8,12693621
95,825000,158,16,5.6,15278
95,140000000,217,127,7.1,38120554
90,15000000,127,69,6.7,19158074
101,60000000,269,118,6.1,93307796
86,25000000,179,81,5.8,38230435
94,20000000,88,64,6.1,12398628
124,50000000,533,152,6.7,52752475
94,6000000,258,96,6.4,21005329
124,75000000,742,141,7.1,78120196
86,12000000,90,72,6.4,333976
101,6000000,346,149,7.6,20772796
109,16000000,171,103,7.2,16346122
153,115000000,454,152,6,40911830
132,70000000,737,191,5.8,141204016
85,6000000,133,68,7.2,3810792
107,76000000,370,150,5.9,127083765
124,20000000,559,192,7.7,16248701
101,20000000,92,81,5.6,15408822
109,36000000,135,110,6.1,26183197
91,6000000,272,97,7.3,17508936
102,26000000,104,79,5,47285499
96,30000000,105,73,5.6,14208384
108,2500000,126,88,6.9,548712
101,2000000,226,180,7.5,6003587
74,55000000,332,153,6.3,104354205
108,18000000,155,128,6.4,3203044
147,130000000,511,94,6.6,138396624
98,18000000,485,195,7.1,60057639
98,50000000,286,131,6.5,26536120
127,35000000,156,54,6.5,4426297
125,70000000,816,235,8,66257002
114,20000000,53,69,6.9,2353728
105,33000000,236,121,5.5,132541238
101,81000000,604,191,6.7,242589580
104,52000000,180,127,5.5,23020488
107,120000000,554,102,4.8,100685880
76,9000000,41,32,4.8,6126237
94,40000000,288,104,5.8,138614544
93,7500000,150,133,6.3,197148
154,79000000,674,198,7.2,95632614
97,15000000,144,119,6.7,12212417
101,30000000,185,109,5.8,34604054
92,60000000,116,81,5.5,104148781
96,11000000,369,140,4.9,32131483
98,17000000,117,75,5.6,22734486
136,68000000,662,175,5.5,33685268
85,19000000,267,85,3.4,26096584
89,40000000,147,78,5.8,9652000
89,3000000,14,23,6.6,2223990
97,33000000,395,152,6.9,173381405
90,26000000,472,175,6.2,46455802
100,94000000,866,301,8.2,380838870
120,20000,49,5,6.9,NA
97,26000000,271,129,6.1,110222438
97,30000000,885,273,5.8,82163317
90,12000000,304,60,2.1,4922166
121,54000000,418,131,2.4,5660084
100,12000000,296,160,7,11634362
280,56000000,497,84,6.3,12870569
87,17000000,48,52,5.1,37566230
121,4800000,225,153,7.7,4063859
96,100000,18,8,4.7,11798
98,40000000,376,207,5.8,59588068
88,NA,38,51,6.1,NA
95,35200000,80,44,5.4,37788228
89,2200000,539,251,6.8,3645438
117,20000000,331,106,7.1,67325559
116,75000000,254,132,5.3,30013346
94,25000000,144,97,5.3,30222640
105,7000000,922,202,6,12583510
126,15000000,469,158,7.6,13005485
101,16000000,95,46,5.7,14108518
116,50000000,357,140,6.4,105807520
138,137000000,1445,267,5.7,132122995
111,1650000,40,22,5.4,2580
91,30000000,714,136,7.3,51475962
113,12000000,354,138,5.3,4717455
100,60000000,322,161,6.3,35096190
104,17000000,316,167,5.6,35143332
87,35000000,285,122,6.1,27972410
95,18000000,205,97,5.4,56127162
89,60000000,181,73,4.4,66734992
111,30000000,2105,354,8.1,70098138
117,95000000,316,157,5.5,65653758
107,850000,252,35,7.2,819939
95,45000000,297,133,4.6,89808372
91,80000000,160,101,5.7,20950820
101,4000000,1848,265,7.8,44566004
129,45000000,1004,218,7.7,59365105
90,200000,112,60,5.1,346085
86,16000000,87,37,5.1,34308901
92,5000000,67,67,6.7,6239558
80,20000000,66,28,2.8,1646664
112,7500000,95,51,5.5,533344
138,150000000,684,244,7.4,93926386
117,65000000,264,141,6.4,63695760
109,4500000,533,185,7.3,34468224
90,14000000,123,56,4.6,15549702
106,2000000,134,72,7.6,395592
138,25000000,935,229,8,90135191
103,1900000,122,60,6.4,1420578
90,NA,50,38,6.3,NA
88,24000000,404,123,7.2,74608545
102,29000000,471,178,6.4,55845943
139,22000000,494,153,7.5,58328680
79,500000,916,235,5.7,30500882
114,50000000,157,124,6.5,40905277
104,10000000,83,82,7.2,1011054
98,5000000,158,39,6.3,296665
119,60000000,347,196,6.3,53789313
80,300000,177,131,7.1,2360184
143,140000000,2113,271,8.1,305388685
109,35000000,196,74,6.9,52277485
80,25000000,35,45,5.6,39399750
117,80000000,340,144,6,116643346
90,780000,157,33,6.8,1310270
84,48000000,347,151,5.5,110000082
108,35000000,479,204,7.1,81257845
140,87000000,455,175,7.3,120147445
111,30000000,292,82,7.6,41407470
101,6800000,65,25,6.4,10696
114,50000000,192,165,6.2,60470220
99,6000000,190,129,7.2,2207975
85,60000000,91,98,6.7,26288320
128,80000000,402,145,6.7,124590960
84,38000000,188,93,4.1,111760631
118,55000000,154,123,5.8,33828318
99,3200000,5,9,6.6,2014071
102,7800000,288,160,6.8,10105505
88,218,114,72,7.2,592014
142,70000000,394,89,6.6,43426961
109,200000000,1676,280,6.4,150350192
112,6000000,166,135,7.7,3432342
79,1000000,49,29,6.1,279282
120,2000000,30,7,3.3,1098224
93,10000000,226,115,5,365734
82,109000000,456,109,3.8,100446895
101,3200000,215,157,7,8243880
135,60000000,466,149,5.4,31111260
104,6000000,36,60,6.6,181798
88,90000000,179,122,4.9,75817994
87,1000000,53,35,6.2,19539
94,55000000,321,135,6,34238611
111,60000000,497,155,7,106126012
72,20000000,58,85,5.4,47887943
154,140000000,928,190,7.7,111110575
110,78000000,786,202,5.8,66462600
130,50000000,420,141,7.5,19593740
94,17000000,172,66,5.3,42672630
192,94000000,3189,328,8.9,377019252
138,150000000,2789,275,7.2,281492479
129,150000000,2121,245,6.7,139259759
108,41000000,132,98,5.2,22108977
94,800000,30,17,7.2,62852
102,38000000,204,112,5.1,7659747
101,500000,34,3,6,1111615
96,8000000,62,52,2.7,3713002
104,85000000,255,151,6.7,47592825
109,8000000,79,66,5.6,336456
120,23000000,52,54,6.2,763044
89,500000,286,154,7.7,5739376
80,9500000,312,167,7.8,7002255
125,17000000,74,25,7.7,4068087
77,103000,5,1,5.7,NA
100,1500000,545,126,6.8,4599680
100,2000000,18,5,5.4,37227
116,80000000,457,123,5.6,19480739
106,2000000,156,121,8.1,4581222
112,300000,32,26,8,7707563
113,18000000,317,111,6.7,43601508
133,22000000,806,226,7,51483949
98,17000000,113,106,6.9,1569918
105,20000000,194,66,5.8,35990505
100,22000000,213,129,6.2,6852144
104,5000000,153,91,6.6,1056102
84,12600000,540,191,6.1,15417771
134,110000000,1055,289,7.5,214948780
98,37000000,339,119,6.1,56044241
99,75000000,456,147,6.8,120776832
95,20000000,232,69,5.9,51431160
97,6500000,135,84,6.8,1029017
133,47000000,239,186,7.7,6167817
97,58000000,147,117,6.3,28328132
110,39000000,50,76,5.3,5881504
100,26000000,44,55,4.5,23222861
206,155000000,1390,248,5.5,34293771
103,60000000,146,135,6.2,13395939
90,42000000,268,108,5.9,87856565
86,200000,32,6,7.2,NA
97,25000000,144,94,4.6,31526393
98,26000000,577,181,7.2,84136909
120,110000000,191,188,5.8,24004159
109,60000000,1283,247,5.6,80281096
106,18000000,69,50,5.7,64955956
80,2700000,492,211,8,5792822
104,18000000,112,93,7.1,7739049
118,23000000,248,113,6.7,6144806
100,20000000,361,167,6.1,5005883
122,65000000,514,185,5.9,52397389
128,17000000,64,35,6.7,2694071
120,NA,27,1,5,NA
85,10000000,26,39,5.5,11827301
122,7000000,276,119,6.2,6601079
108,40000000,259,143,5.9,40203020
91,18000000,49,54,5.2,16702864
87,100000000,660,212,3.3,40198710
94,25000000,355,127,6.5,32003620
101,23000000,129,65,6.1,12189514
99,60000000,209,105,5.2,73701902
110,4500,39,81,6.9,136007
98,27000000,903,212,7.3,33987757
119,8550000,201,66,5.6,4992159
120,65000000,836,299,7.6,100003492
89,15000000,105,74,4.6,29302097
108,20000000,117,76,6.3,8054280
115,6500000,1624,287,7.9,54557348
91,3500000,135,50,5.3,96793
110,26000000,1057,287,7.4,58885635
90,695393,207,99,7.7,6013
105,NA,182,96,7.8,1340891
102,50000000,58,100,6.6,23106
95,5000000,66,35,4.6,NA
125,20000000,226,119,6.6,13337299
84,12000000,157,141,7.2,1197786
92,20000000,392,191,6.7,114324072
178,13500000,564,192,8.3,5501940
96,35000000,244,89,6.3,22913677
99,40000000,176,76,4.8,12181484
108,20000000,1514,273,8.3,34126138
85,6500000,68,27,6.7,70527
93,25000000,316,92,6.6,17718223
125,50000000,308,167,5.1,41814863
122,6000000,1416,288,7.5,119078393
103,5000000,44,13,3.3,16066
93,26000000,91,59,4.3,48114556
109,200000,23,13,6.6,5199
101,25000000,632,226,7.8,51676606
113,45000000,222,114,6.1,21009180
99,2000000,41,24,6.4,39663
102,2500000,978,205,7.6,26781723
80,35000000,232,116,5,75367693
93,32000000,31,12,5.7,47636
102,25000000,191,130,4.8,14334645
120,1000000,2,NA,7.4,227241
88,9000000,316,150,7.1,18225165
142,130000000,1504,274,7.8,249358727
132,66000000,597,242,6.8,59035104
136,100000000,345,140,6.7,67286731
76,110000000,88,104,5.4,50026353
121,17500000,609,187,8.1,23472900
96,6000000,86,46,7,371081
107,22000000,381,183,6.7,12784713
115,120000000,789,225,7.1,144795350
111,4000000,56,73,7.3,228524
109,26000000,214,157,6.5,45489752
94,1400000,63,60,6.6,36830
90,2000000,67,58,7.4,120620
